street,city,state,zip,neighborhood
123 Park Ave,Syracuse,NY,13210,University Hill
456 Oak St,Liverpool,NY,13088,Liverpool Village
789 Maple Dr,Camillus,NY,13031,Camillus Village
321 Elm St,Fayetteville,NY,13066,Fayetteville Village
654 Pine Rd,Manlius,NY,13104,Manlius Village
987 Cedar Ln,Baldwinsville,NY,13027,Baldwinsville Village
147 Birch Way,Clay,NY,13041,Clay
258 Willow Ct,Cicero,NY,13039,Cicero
369 Walnut Ave,DeWitt,NY,13214,DeWitt
741 Cherry St,East Syracuse,NY,13057,East Syracuse
852 Ash Rd,Skaneateles,NY,13152,Skaneateles Village
963 Spruce Ln,Marcellus,NY,13108,Marcellus Village
159 Hickory Dr,Jamesville,NY,13078,Jamesville
357 Poplar St,Minoa,NY,13116,Minoa Village
486 Beech Ave,North Syracuse,NY,13212,North Syracuse
753 Chestnut Rd,Tully,NY,13159,Tully Village
951 Hemlock Ln,Pompey,NY,13138,Pompey
246 Dogwood Ct,Elbridge,NY,13060,Elbridge Village
135 Sycamore Dr,Jordan,NY,13080,Jordan Village
579 Magnolia St,Fabius,NY,13063,Fabius Village
802 Cypress Ave,Syracuse,NY,13203,Northside
413 Redwood Ln,Syracuse,NY,13204,Westside
627 Juniper Rd,Syracuse,NY,13205,South Valley
891 Linden St,Syracuse,NY,13206,Eastwood
234 Laurel Ave,Syracuse,NY,13207,West End
568 Mulberry Dr,Syracuse,NY,13208,Near Westside
792 Olive Ct,Syracuse,NY,13209,Lakefront
346 Pecan Ln,Syracuse,NY,13211,Strathmore
681 Plum St,Syracuse,NY,13219,Valley
924 Acorn Ave,Syracuse,NY,13224,Sedgwick
157 Butternut Rd,Liverpool,NY,13090,Bayberry
483 Cottonwood Dr,Baldwinsville,NY,13027,Village Green
726 Ironwood Ln,Cicero,NY,13039,Bridgeport
395 Mesquite St,Clay,NY,13041,Euclid
614 Sequoia Ave,DeWitt,NY,13214,Butternut
871 Tamarack Rd,Fayetteville,NY,13066,Limestone
239 Aspen Ct,Manlius,NY,13104,Enders
562 Birch Hollow,Camillus,NY,13031,Split Rock
847 Cedar Grove,East Syracuse,NY,13057,Ellis
193 Elm Ridge,Jamesville,NY,13078,Sentinel Heights
476 Maple Crest,Liverpool,NY,13088,Galeville
638 Oak Hill,Marcellus,NY,13108,Marietta
915 Pine Valley,Minoa,NY,13116,Carman
281 Spruce Summit,North Syracuse,NY,13212,Mattydale
549 Willow Glen,Skaneateles,NY,13152,Austin Park
723 Cherry Creek,Syracuse,NY,13210,University Neighborhood
396 Ash Brook,Syracuse,NY,13214,Dewitt
851 Walnut Woods,Syracuse,NY,13215,Brighton
174 Hickory Bend,Syracuse,NY,13224,Meadowbrook
